timestamp,ecg_measurement
2.951311896000000000e+09,1.744868040000000065e+00
2.951315880000000000e+09,1.857282543099999961e+00
2.951319888000000000e+09,1.955034255900000018e+00
2.951323888000000000e+09,1.901270771000000082e+00
2.951327876000000000e+09,1.769305944400000108e+00
2.951331876000000000e+09,1.739980459200000107e+00
2.951335872000000000e+09,1.837732219600000105e+00
2.951339880000000000e+09,1.901270771000000082e+00
2.951343868000000000e+09,1.832844638799999926e+00
2.951347876000000000e+09,1.681329345700000033e+00
2.951351884000000000e+09,1.632453536899999946e+00
2.951355896000000000e+09,1.715542554800000064e+00
2.951359900000000000e+09,1.788856267899999963e+00
2.951363904000000000e+09,1.715542554800000064e+00
2.951367908000000000e+09,1.578690147299999902e+00
2.951371908000000000e+09,1.554252147599999967e+00
2.951375916000000000e+09,1.666666602999999913e+00
2.951379900000000000e+09,1.759530782599999954e+00
2.951383904000000000e+09,1.700879812199999952e+00
2.951387892000000000e+09,1.573802566499999944e+00
2.951391892000000000e+09,1.549364566800000009e+00
2.951395900000000000e+09,1.661779022199999956e+00
2.951399900000000000e+09,1.769305944400000108e+00
2.951403900000000000e+09,1.695992231299999986e+00
2.951407908000000000e+09,1.564027404700000012e+00
2.951411900000000000e+09,1.549364566800000009e+00
2.951415900000000000e+09,1.656891441299999990e+00
2.951419908000000000e+09,1.749755620900000030e+00
2.951423904000000000e+09,1.686216926499999991e+00
2.951427908000000000e+09,1.564027404700000012e+00
2.951431900000000000e+09,1.568914985599999978e+00
2.951435908000000000e+09,1.759530782599999954e+00
2.951439912000000000e+09,1.994134902899999950e+00
2.951443908000000000e+09,2.189638376200000014e+00
2.951447908000000000e+09,2.380254268599999889e+00
2.951451908000000000e+09,2.678396940199999854e+00
2.951455908000000000e+09,3.074291229199999975e+00
2.951459908000000000e+09,3.294232606800000074e+00
2.951463900000000000e+09,3.137830018899999907e+00
2.951467896000000000e+09,2.717497587200000009e+00
2.951471900000000000e+09,2.218963861399999793e+00
2.951475908000000000e+09,1.798631429600000109e+00
2.951479912000000000e+09,1.480938434600000075e+00
2.951483916000000000e+09,1.221896409900000036e+00
2.951487904000000000e+09,1.050830841000000015e+00
2.951491888000000000e+09,1.050830841000000015e+00
2.951495868000000000e+09,1.231671571699999967e+00
2.951499868000000000e+09,1.422287368699999943e+00
2.951502848000000000e+09,1.471163272799999922e+00
2.951507876000000000e+09,1.427174949599999909e+00
2.951511888000000000e+09,1.466275691899999956e+00
2.951515896000000000e+09,1.608015632599999911e+00
2.951519896000000000e+09,1.725317716499999987e+00
2.951523904000000000e+09,1.700879812199999952e+00
2.951527892000000000e+09,1.588465309100000056e+00
2.951531896000000000e+09,1.593352890000000022e+00
2.951535896000000000e+09,1.725317716499999987e+00
2.951539900000000000e+09,1.832844638799999926e+00
