timestamp,measurement,qrs_detected
2975707212,1.8328446388,0
2975711212,1.8719452857,0
2975715216,1.9452590942,0
2975719216,1.9794721603,0
2975723216,1.9648094177,0
2975727216,1.9599218368,0
2975731216,1.9990224838,0
2975735212,2.0430107116,0
2975739212,1.9550342559,0
2975743212,1.8084066390,0
2975747204,1.6813293457,0
2975751212,1.6373411178,0
2975755212,1.6226783752,0
2975759216,1.5689149856,0
2975763216,1.4907135963,0
2975767216,1.4467253684,0
2975771216,1.4858260154,0
2975775216,1.5395894050,0
2975779204,1.5493645668,0
2975783212,1.5200390815,0
2975787204,1.5004887580,0
2975791188,1.5591397285,0
2975795188,1.6373411178,0
2975799196,1.6617790222,0
2975803196,1.6373411178,0
2975807212,1.6275659561,0
2975811216,1.6764417648,0
2975815216,1.7302052974,0
2975819212,1.7302052974,0
2975823212,1.6862169265,0
2975827216,1.6666666030,0
2975831212,1.7008798122,0
2975835204,1.7302052974,0
2975839196,1.6911046504,0
2975843196,1.5884653091,0
2975847196,1.5102639198,0
2975851196,1.4809384346,0
2975855196,1.4858260154,0
2975859196,1.4760508537,0
2975863196,1.4222873687,0
2975867204,1.4222873687,0
2975871212,1.5151515007,0
2975875216,1.6275659561,0
2975879224,1.7008798122,0
2975883212,1.7253177165,0
2975887220,1.7790811061,0
2975891216,1.8719452857,0
2975895216,1.9501466751,0
2975899216,1.9696969985,0
2975903216,1.9257086753,0
2975907216,1.9012707710,0
2975911212,1.9403715133,0
2975915216,1.9941349029,0
2975919212,2.0087976455,0
2975922180,1.9648094177,0
2975927204,1.9550342559,0
2975931204,2.0039100646,0
2975935188,2.0576734542,0
2975939188,2.0381231307,0
2975943188,1.9501466751,0
2975947196,1.8817204475,0
2975951196,1.8475073814,0
2975955196,1.8475073814,0
2975959204,1.7937438488,0
2975963204,1.7057673931,0
2975967204,1.6422286987,0
2975971212,1.6520038604,0
2975975204,1.6862169265,0
2975979212,1.6520038604,0
2975983204,1.5591397285,0
2975987212,1.4858260154,0
2975991212,1.4760508537,0
2975995212,1.4907135963,0
2975999212,1.4418377876,0
2976003216,1.3440860509,0
2976007204,1.2805473804,0
2976011184,1.2365591526,0
2976015196,1.2316715717,0
2976019200,1.1681329011,0
2976023200,1.0557184219,0
2976027196,0.9433039665,0
2976031188,0.9139784812,0
2976035180,0.9481915473,0
2976039172,0.9970674514,0
2976043152,1.0752688646,0
2976047152,1.2463343143,0
2976051148,1.5102639198,0
2976055148,1.7839686870,0
2976059140,1.8914956092,0
2976063140,1.7057673931,0
2976067148,1.3440860509,0
2976071140,0.9237536430,0
2976075132,0.5816226482,0
2976079124,0.3519061565,0
2976083116,0.2101661682,0
2976087108,0.1221896409,0
2976091100,0.0782013654,0
2976095092,0.0439882707,0
2976099084,0.0146627559,0
2976103084,0.0097751703,0
2976107036,0.0000000000,0
2976110940,0.0000000000,0
2976114844,0.0000000000,0
2976118740,0.0000000000,0
2976122644,0.0000000000,0
2976126548,0.0000000000,0
2976130444,0.0000000000,0
2976134348,0.0000000000,0
2976138236,0.0000000000,0
2976142124,0.0000000000,0
2976146028,0.0000000000,0
2976149932,0.0000000000,0
2976153860,0.0391006832,0
2976157844,0.0635386085,0
2976161836,0.0439882707,0
2976165812,0.0244379281,0
2976169804,0.0244379281,0
2976173796,0.0342130994,0
2976177788,0.0244379281,0
2976181788,0.0146627559,0
2976185780,0.0048875851,0
2976189732,0.0000000000,0
2976193660,0.0097751703,0
2976197604,0.0000000000,0
2976201500,0.0000000000,0
2976205404,0.0000000000,0
2976209332,0.0097751703,0
2976213308,0.0635386085,0
2976217292,0.0782013654,0
2976221268,0.0537634420,0
2976225244,0.0488758563,0
2976229228,0.0684261989,0
